Creation Instinct	Driver Instinct	Flowprint Label	Signature Sentence
Architect	Energy	Sprint Builder	You channel burst‑mode energy to architect systems that stand the test of time, and your flow ignites when the countdown clock starts.
Architect	Input	System Sculptor	You sift signals into insight to architect systems that stand the test of time, and your flow ignites when data finally lines up.
Architect	Emotional	Empathic Engineer	You read hearts in real time to architect systems that stand the test of time, and your flow ignites when feelings spark beneath the surface.
Architect	Decision	Precision Planner	You slice choices with surgical clarity to architect systems that stand the test of time, and your flow ignites when options collide on the table.
Architect	Pattern	Structure Weaver	You decode hidden patterns to architect systems that stand the test of time, and your flow ignites when connections snap into place.
Architect	Stress	Forge Captain	You turn rising tension into momentum to architect systems that stand the test of time, and your flow ignites when pressure climbs for everyone else.
Architect	Environment	Nomad Architect	You absorb the atmosphere around you to architect systems that stand the test of time, and your flow ignites when the vibe shifts mid‑room.
Architect	Time	Timeless Designer	You project tomorrow onto today to architect systems that stand the test of time, and your flow ignites when future stakes come into focus.
Architect	Social	Community Architect	You weave human currents to architect systems that stand the test of time, and your flow ignites when voices overlap in buzzing rooms.
Storyteller	Energy	Rhythm Bard	You channel burst‑mode energy to craft narratives that move minds, and your flow ignites when the countdown clock starts.
Storyteller	Input	Meaning Messenger	You sift signals into insight to craft narratives that move minds, and your flow ignites when data finally lines up.
Storyteller	Emotional	Sentiment Storyteller	You read hearts in real time to craft narratives that move minds, and your flow ignites when feelings spark beneath the surface.
Storyteller	Decision	Soulful Communicator	You slice choices with surgical clarity to craft narratives that move minds, and your flow ignites when options collide on the table.
Storyteller	Pattern	Story Weaver	You decode hidden patterns to craft narratives that move minds, and your flow ignites when connections snap into place.
Storyteller	Stress	Resilient Scribe	You turn rising tension into momentum to craft narratives that move minds, and your flow ignites when pressure climbs for everyone else.
Storyteller	Environment	Ambient Narrator	You absorb the atmosphere around you to craft narratives that move minds, and your flow ignites when the vibe shifts mid‑room.
Storyteller	Time	Reflective Chronicler	You project tomorrow onto today to craft narratives that move minds, and your flow ignites when future stakes come into focus.
Storyteller	Social	Social Storyteller	You weave human currents to craft narratives that move minds, and your flow ignites when voices overlap in buzzing rooms.
Visionary	Energy	Tempo Visionary	You channel burst‑mode energy to map futures others can’t yet see, and your flow ignites when the countdown clock starts.
Visionary	Input	Insight Futurist	You sift signals into insight to map futures others can’t yet see, and your flow ignites when data finally lines up.
Visionary	Emotional	Intuitive Dreamer	You read hearts in real time to map futures others can’t yet see, and your flow ignites when feelings spark beneath the surface.
Visionary	Decision	Instinctive Strategist	You slice choices with surgical clarity to map futures others can’t yet see, and your flow ignites when options collide on the table.
Visionary	Pattern	Meaning Maker	You decode hidden patterns to map futures others can’t yet see, and your flow ignites when connections snap into place.
Visionary	Stress	Pressure Prophet	You turn rising tension into momentum to map futures others can’t yet see, and your flow ignites when pressure climbs for everyone else.
Visionary	Environment	Space Innovator	You absorb the atmosphere around you to map futures others can’t yet see, and your flow ignites when the vibe shifts mid‑room.
Visionary	Time	Future Architect	You project tomorrow onto today to map futures others can’t yet see, and your flow ignites when future stakes come into focus.
Visionary	Social	Culture Visionary	You weave human currents to map futures others can’t yet see, and your flow ignites when voices overlap in buzzing rooms.
Artist	Energy	Flow Crafter	You channel burst‑mode energy to shape emotion into sensory art, and your flow ignites when the countdown clock starts.
Artist	Input	Fusion Creator	You sift signals into insight to shape emotion into sensory art, and your flow ignites when data finally lines up.
Artist	Emotional	Deep Shader	You read hearts in real time to shape emotion into sensory art, and your flow ignites when feelings spark beneath the surface.
Artist	Decision	Fluid Designer	You slice choices with surgical clarity to shape emotion into sensory art, and your flow ignites when options collide on the table.
Artist	Pattern	Pattern Painter	You decode hidden patterns to shape emotion into sensory art, and your flow ignites when connections snap into place.
Artist	Stress	Calm Alchemist	You turn rising tension into momentum to shape emotion into sensory art, and your flow ignites when pressure climbs for everyone else.
Artist	Environment	Sensory Alchemist	You absorb the atmosphere around you to shape emotion into sensory art, and your flow ignites when the vibe shifts mid‑room.
Artist	Time	Moment Maker	You project tomorrow onto today to shape emotion into sensory art, and your flow ignites when future stakes come into focus.
Artist	Social	Vibe Artist	You weave human currents to shape emotion into sensory art, and your flow ignites when voices overlap in buzzing rooms.
Activator	Energy	Sprint Starter	You channel burst‑mode energy to ignite stalled teams into action, and your flow ignites when the countdown clock starts.
Activator	Input	Momentum Mapper	You sift signals into insight to ignite stalled teams into action, and your flow ignites when data finally lines up.
Activator	Emotional	Heart Activator	You read hearts in real time to ignite stalled teams into action, and your flow ignites when feelings spark beneath the surface.
Activator	Decision	Bold Instigator	You slice choices with surgical clarity to ignite stalled teams into action, and your flow ignites when options collide on the table.
Activator	Pattern	Disruptive Doer	You decode hidden patterns to ignite stalled teams into action, and your flow ignites when connections snap into place.
Activator	Stress	Pressure Driver	You turn rising tension into momentum to ignite stalled teams into action, and your flow ignites when pressure climbs for everyone else.
Activator	Environment	Momentum Builder	You absorb the atmosphere around you to ignite stalled teams into action, and your flow ignites when the vibe shifts mid‑room.
Activator	Time	Present Pacesetter	You project tomorrow onto today to ignite stalled teams into action, and your flow ignites when future stakes come into focus.
